Ligand,stage1,stage2,stage3
fda_0277.pdbqt,-6.42 (invalid),,
fda_0278.pdbqt,-4.46,,
fda_0279.pdbqt,-4.95,,
fda_0280.pdbqt,-6.20,,
fda_0281.pdbqt,29.52 (invalid),,
fda_0282.pdbqt,31.80 (invalid),,
fda_0283.pdbqt,9.55,,
fda_0284.pdbqt,25.25 (invalid),,
fda_0285.pdbqt,-5.64,,
fda_0286.pdbqt,-5.67 (invalid),,
fda_0287.pdbqt,-5.42 (invalid),,
fda_0288.pdbqt,-5.82 (invalid),,
fda_0289.pdbqt,5.12 (invalid),,
fda_0290.pdbqt,2.37 (invalid),,
fda_0291.pdbqt,12.25 (invalid),,
fda_0292.pdbqt,4.43 (invalid),,
fda_0293.pdbqt,-4.49,,
fda_0294.pdbqt,-6.90 (invalid),,
fda_0295.pdbqt,-6.58 (invalid),,
fda_0296.pdbqt,-6.15,,
fda_0297.pdbqt,-4.78 (invalid),,
fda_0298.pdbqt,-5.35,,
fda_0299.pdbqt,-3.34 (invalid),,
fda_0300.pdbqt,-5.27 (invalid),,
fda_0301.pdbqt,-4.19,,
fda_0302.pdbqt,-3.60,,
fda_0303.pdbqt,-2.12,,
fda_0304.pdbqt,-2.95 (invalid),,
fda_0305.pdbqt,-3.21 (invalid),,
fda_0306.pdbqt,-2.09 (invalid),,
fda_0307.pdbqt,-5.80 (invalid),,
fda_0308.pdbqt,-5.23 (invalid),,
fda_0309.pdbqt,-4.01 (invalid),,
fda_0310.pdbqt,-4.84 (invalid),,
fda_0311.pdbqt,-5.63 (invalid),,
fda_0312.pdbqt,-5.62 (invalid),,
fda_0313.pdbqt,-4.47 (invalid),,
fda_0314.pdbqt,-3.31 (invalid),,
fda_0315.pdbqt,-2.23,,
fda_0316.pdbqt,-4.24 (invalid),,
fda_0317.pdbqt,-6.07,,
fda_0318.pdbqt,23.88 (invalid),,
fda_0319.pdbqt,23.79 (invalid),,
fda_0320.pdbqt,5.64 (invalid),,
fda_0321.pdbqt,9.38 (invalid),,
fda_0322.pdbqt,-0.69 (invalid),,
fda_0323.pdbqt,-2.08 (invalid),,
fda_0324.pdbqt,-4.07 (invalid),,
fda_0325.pdbqt,-2.40 (invalid),,
fda_0326.pdbqt,-3.18 (invalid),,
fda_0327.pdbqt,-4.44 (invalid),,
fda_0328.pdbqt,1.23 (invalid),,
fda_0329.pdbqt,16.95 (invalid),,
fda_0330.pdbqt,20.59 (invalid),,
fda_0331.pdbqt,-1.02,,
fda_0332.pdbqt,-4.35 (invalid),,
fda_0333.pdbqt,0.50 (invalid),,
fda_0334.pdbqt,-2.44,,
fda_0335.pdbqt,-3.09 (invalid),,
fda_0336.pdbqt,-5.92 (invalid),,
fda_0337.pdbqt,-5.70 (invalid),,
fda_0338.pdbqt,-4.53,,
fda_0339.pdbqt,-4.18 (invalid),,
fda_0340.pdbqt,-4.82 (invalid),,
fda_0341.pdbqt,-4.62,,
fda_0342.pdbqt,-5.34 (invalid),,
fda_0343.pdbqt,0.44 (invalid),,
fda_0344.pdbqt,-1.39 (invalid),,
fda_0345.pdbqt,0.93,,
fda_0346.pdbqt,1.06 (invalid),,
fda_0347.pdbqt,-5.78 (invalid),,
fda_0348.pdbqt,-5.65 (invalid),,
fda_0349.pdbqt,-6.15,,
fda_0350.pdbqt,-5.53,,
fda_0351.pdbqt,-6.03 (invalid),,
fda_0352.pdbqt,1.29 (invalid),,
fda_0353.pdbqt,0.29,,
fda_0354.pdbqt,8.55 (invalid),,
fda_0355.pdbqt,-4.81 (invalid),,
fda_0356.pdbqt,-5.50 (invalid),,
fda_0357.pdbqt,-6.14 (invalid),,
fda_0358.pdbqt,-4.75 (invalid),,
fda_0359.pdbqt,-7.08,,
fda_0360.pdbqt,-6.34 (invalid),,
fda_0361.pdbqt,-3.64,,
fda_0362.pdbqt,-4.84,,
fda_0363.pdbqt,-4.66 (invalid),,
fda_0364.pdbqt,-5.99 (invalid),,
fda_0365.pdbqt,-3.75,,
fda_0366.pdbqt,-1.20 (invalid),,
fda_0367.pdbqt,-2.08 (invalid),,
fda_0368.pdbqt,1.34 (invalid),,
fda_0369.pdbqt,-1.28 (invalid),,
fda_0370.pdbqt,2.43 (invalid),,
fda_0371.pdbqt,-1.84,,
fda_0372.pdbqt,-0.41 (invalid),,
fda_0373.pdbqt,-0.72 (invalid),,
fda_0374.pdbqt,-5.24,,
fda_0375.pdbqt,-5.67,,
fda_0376.pdbqt,-5.39,,
fda_0377.pdbqt,-5.38 (invalid),,
fda_0378.pdbqt,-6.44 (invalid),,
fda_0379.pdbqt,-5.60,,
fda_0380.pdbqt,-4.89,,
fda_0381.pdbqt,-5.64,,
fda_0382.pdbqt,-5.36 (invalid),,
fda_0383.pdbqt,-5.19 (invalid),,
fda_0384.pdbqt,-6.64 (invalid),,
fda_0385.pdbqt,-5.23,,
fda_0386.pdbqt,-4.22 (invalid),,
fda_0387.pdbqt,-5.75,,
fda_0388.pdbqt,-5.60,,
fda_0389.pdbqt,-5.76,,
fda_0390.pdbqt,-5.77 (invalid),,
fda_0391.pdbqt,-6.14,,
fda_0392.pdbqt,-5.38,,
fda_0393.pdbqt,-6.55 (invalid),,
fda_0394.pdbqt,-5.81,,
fda_0395.pdbqt,-4.99,,
fda_0396.pdbqt,-1.81 (invalid),,
fda_0397.pdbqt,-3.37 (invalid),,
fda_0398.pdbqt,-5.35 (invalid),,
fda_0399.pdbqt,-5.73 (invalid),,
fda_0400.pdbqt,-5.62,,
fda_0401.pdbqt,-5.72 (invalid),,
fda_0402.pdbqt,-6.20 (invalid),,
fda_0403.pdbqt,-6.29 (invalid),,
fda_0404.pdbqt,-6.27 (invalid),,
fda_0405.pdbqt,-6.29 (invalid),,
fda_0406.pdbqt,-4.44,,
fda_0407.pdbqt,-5.19 (invalid),,
fda_0408.pdbqt,-4.96 (invalid),,
fda_0409.pdbqt,-4.97 (invalid),,
fda_0410.pdbqt,-5.19,,
fda_0411.pdbqt,-4.14,,
fda_0412.pdbqt,-5.87,,
fda_0413.pdbqt,-4.75 (invalid),,
fda_0414.pdbqt,-3.52,,
fda_0415.pdbqt,-3.94 (invalid),,
fda_0416.pdbqt,-2.54,,
fda_0417.pdbqt,-5.28,,
fda_0418.pdbqt,-6.09,,
fda_0419.pdbqt,-6.05 (invalid),,
fda_0420.pdbqt,-5.48 (invalid),,
fda_0421.pdbqt,-6.09 (invalid),,
fda_0422.pdbqt,-5.69 (invalid),,
fda_0423.pdbqt,-4.70,,
fda_0424.pdbqt,5.63 (invalid),,
fda_0425.pdbqt,0.65,,
fda_0426.pdbqt,1.40 (invalid),,
fda_0427.pdbqt,3.51 (invalid),,
fda_0428.pdbqt,13.38 (invalid),,
fda_0429.pdbqt,7.11 (invalid),,
fda_0430.pdbqt,13.49 (invalid),,
fda_0431.pdbqt,-6.12 (invalid),,
fda_0432.pdbqt,-6.75 (invalid),,
fda_0433.pdbqt,-6.61 (invalid),,
fda_0434.pdbqt,-6.89 (invalid),,
fda_0435.pdbqt,-6.57 (invalid),,
fda_0436.pdbqt,-5.63,,
fda_0437.pdbqt,-6.85 (invalid),,
fda_0438.pdbqt,-6.56 (invalid),,
fda_0439.pdbqt,-6.97 (invalid),,
fda_0440.pdbqt,-5.64,,
fda_0441.pdbqt,-5.64,,
fda_0442.pdbqt,-2.60,,
fda_0443.pdbqt,-6.16,,
fda_0444.pdbqt,-6.94,,
fda_0445.pdbqt,-7.03,,
fda_0446.pdbqt,-4.93 (invalid),,
fda_0447.pdbqt,-5.71,,
fda_0448.pdbqt,-5.51,,
fda_0449.pdbqt,-6.02 (invalid),,
fda_0450.pdbqt,-5.95,,
fda_0451.pdbqt,-4.25,,
fda_0452.pdbqt,-5.72 (invalid),,
fda_0453.pdbqt,-5.02 (invalid),,
fda_0454.pdbqt,-4.34,,
fda_0455.pdbqt,-7.62,-7.61,
fda_0456.pdbqt,-7.03,,
fda_0457.pdbqt,-5.99,,
fda_0458.pdbqt,-5.53,,
fda_0459.pdbqt,-7.35,-7.33 (invalid),
fda_0460.pdbqt,-6.83,,
fda_0461.pdbqt,-8.08,-8.08,
fda_0462.pdbqt,-6.27,,
fda_0463.pdbqt,-3.89 (invalid),,
fda_0464.pdbqt,-5.80,,
fda_0465.pdbqt,-5.90 (invalid),,
fda_0466.pdbqt,-5.17,,
fda_0467.pdbqt,-5.25 (invalid),,
fda_0468.pdbqt,-6.27 (invalid),,
fda_0469.pdbqt,-3.16,,
fda_0470.pdbqt,-5.28,,
fda_0471.pdbqt,-3.34,,
fda_0472.pdbqt,-4.67 (invalid),,
fda_0473.pdbqt,-5.14,,
fda_0474.pdbqt,-5.02,,
fda_0475.pdbqt,-6.49,,
fda_0476.pdbqt,-6.40,,
fda_0477.pdbqt,-6.75,,
fda_0478.pdbqt,-6.46,,
fda_0479.pdbqt,-6.63 (invalid),,
fda_0480.pdbqt,-5.03,,
fda_0481.pdbqt,-5.05 (invalid),,
fda_0482.pdbqt,-6.11,,
fda_0483.pdbqt,-5.42,,
fda_0484.pdbqt,-5.90,,
fda_0485.pdbqt,-4.67 (invalid),,
fda_0486.pdbqt,-4.45,,
fda_0487.pdbqt,-5.46 (invalid),,
fda_0488.pdbqt,-4.96,,
fda_0489.pdbqt,-6.23 (invalid),,
fda_0490.pdbqt,-6.41 (invalid),,
fda_0491.pdbqt,-6.46 (invalid),,
fda_0492.pdbqt,-6.46 (invalid),,
fda_0493.pdbqt,-6.54,,
fda_0494.pdbqt,-5.42,,
fda_0495.pdbqt,-6.11,,
fda_0496.pdbqt,-7.24 (invalid),,
fda_0497.pdbqt,-6.44,,
fda_0498.pdbqt,5.06 (invalid),,
fda_0499.pdbqt,13.07 (invalid),,
fda_0500.pdbqt,2.17 (invalid),,
fda_0501.pdbqt,4.05 (invalid),,
fda_0502.pdbqt,-4.39 (invalid),,
fda_0503.pdbqt,-4.03,,
fda_0504.pdbqt,-4.38 (invalid),,
fda_0505.pdbqt,-5.01,,
fda_0506.pdbqt,-6.93,,
