severity,file_num,rdk_id,display_name,reason_codes,pubchem_record_title,rxnorm_generic_name,drugcentral_generic_name,sdf_title,inchikey,path
review,3446,rdk_0003446,tremode,brand_display_with_clean_pubchem_title,zonisamide,zonisamide,,fda_6627,UBQNRHZMVUUOMG-UHFFFAOYSA-N,/stor/home/mpg2352/atlas2/code/protein_automation/prepped_ligands/rdk_0003446.pdbqt
review,3449,rdk_0003449,mafatate,brand_display_with_clean_pubchem_title,MAFENIDE ACETATE,,,fda_6630,UILOTUUZKGTYFQ-UHFFFAOYSA-N,/stor/home/mpg2352/atlas2/code/protein_automation/prepped_ligands/rdk_0003449.pdbqt
review,3450,rdk_0003450,acelex,brand_display_with_clean_pubchem_title,Polmacoxib,azelate,,fda_6631,IJWPAFMIFNSIGD-UHFFFAOYSA-N,/stor/home/mpg2352/atlas2/code/protein_automation/prepped_ligands/rdk_0003450.pdbqt
review,3451,rdk_0003451,eflone,brand_display_with_clean_pubchem_title,FLUOROMETHOLONE ACETATE,,,fda_6632,YRFXGQHBPBMFHW-SBTZIJSASA-N,/stor/home/mpg2352/atlas2/code/protein_automation/prepped_ligands/rdk_0003451.pdbqt
review,3452,rdk_0003452,eftapan,brand_display_with_clean_pubchem_title,eprazinone hydrochloride,eprazinone,,fda_6633,BPMQVOKMMQFZGV-UHFFFAOYSA-N,/stor/home/mpg2352/atlas2/code/protein_automation/prepped_ligands/rdk_0003452.pdbqt
review,3454,rdk_0003454,veoza,brand_display_with_clean_pubchem_title,Fezolinetant,fezolinetant,,fda_6635,PPSNFPASKFYPMN-SECBINFHSA-N,/stor/home/mpg2352/atlas2/code/protein_automation/prepped_ligands/rdk_0003454.pdbqt
review,3455,rdk_0003455,rolapitanthydrochloride,raw_quality_cas_only;raw_quality_ndc_like,858102-79-1,,,fda_6636,VEWAWEMXVUFANV-PVBCUUEWSA-N,/stor/home/mpg2352/atlas2/code/protein_automation/prepped_ligands/rdk_0003455.pdbqt
review,3456,rdk_0003456,Vapreotide acetate,raw_quality_identifier_like;raw_quality_unii_like,orb1308953,,,fda_6637,KBIZSMHYSQUHDH-CYKDYWLUSA-N,/stor/home/mpg2352/atlas2/code/protein_automation/prepped_ligands/rdk_0003456.pdbqt
review,3457,rdk_0003457,emend,brand_display_with_clean_pubchem_title,Aprepitant,aprepitant,,fda_6638,ATALOFNDEOCMKK-OITMNORJSA-N,/stor/home/mpg2352/atlas2/code/protein_automation/prepped_ligands/rdk_0003457.pdbqt
review,3458,rdk_0003458,nexletol,brand_display_with_clean_pubchem_title,bempedoic acid,bempedoic acid,,fda_6639,HYHMLYSLQUKXKP-UHFFFAOYSA-N,/stor/home/mpg2352/atlas2/code/protein_automation/prepped_ligands/rdk_0003458.pdbqt
review,3461,rdk_0003461,tigilanol tiglate,raw_quality_iupac_like,"1,7-Dihydroxy-ginkgolide A",tigilanol tiglate,,fda_6642,AMOGMTLMADGEOQ-PYLUGNSCSA-N,/stor/home/mpg2352/atlas2/code/protein_automation/prepped_ligands/rdk_0003461.pdbqt
review,3463,rdk_0003463,dapagliflozin,raw_quality_identifier_like;raw_quality_formula_like,MFCD29505477,dapagliflozin,,fda_6644,ZTIZEXUIEBLYBL-ISZFVDQSSA-N,/stor/home/mpg2352/atlas2/code/protein_automation/prepped_ligands/rdk_0003463.pdbqt
review,3464,rdk_0003464,edirel,brand_display_with_clean_pubchem_title,Erdosteine,,,fda_6645,QGFORSXNKQLDNO-UHFFFAOYSA-N,/stor/home/mpg2352/atlas2/code/protein_automation/prepped_ligands/rdk_0003464.pdbqt
review,3466,rdk_0003466,bucladesine,raw_quality_identifier_like;raw_quality_unii_like,orb1308676,,,fda_6647,DBXVIQJWMFGXGO-VMZSDVDQSA-N,/stor/home/mpg2352/atlas2/code/protein_automation/prepped_ligands/rdk_0003466.pdbqt
review,3467,rdk_0003467,ohtuvayre,raw_quality_cas_only;raw_quality_ndc_like,298680-25-8,ensifentrine,,fda_6648,CSOBIBXVIYAXFM-BYNJWEBRSA-N,/stor/home/mpg2352/atlas2/code/protein_automation/prepped_ligands/rdk_0003467.pdbqt
review,3468,rdk_0003468,trapymine,brand_display_with_clean_pubchem_title,trapidil,,,fda_6649,GSNOZLZNQMLSKJ-UHFFFAOYSA-N,/stor/home/mpg2352/atlas2/code/protein_automation/prepped_ligands/rdk_0003468.pdbqt
review,3469,rdk_0003469,acardi,brand_display_with_clean_pubchem_title,pimobendan,pimobendan,,fda_6650,GLBJJMFZWDBELO-UHFFFAOYSA-N,/stor/home/mpg2352/atlas2/code/protein_automation/prepped_ligands/rdk_0003469.pdbqt
review,3471,rdk_0003471,moizerto,brand_display_with_clean_pubchem_title,Difamilast,,,fda_6652,VFBILHPIHUPBPZ-UHFFFAOYSA-N,/stor/home/mpg2352/atlas2/code/protein_automation/prepped_ligands/rdk_0003471.pdbqt
review,3472,rdk_0003472,arkin,brand_display_with_clean_pubchem_title,vesnarinone,guaifenesin,,fda_6653,ZVNYJIZDIRKMBF-UHFFFAOYSA-N,/stor/home/mpg2352/atlas2/code/protein_automation/prepped_ligands/rdk_0003472.pdbqt
review,3475,rdk_0003475,spedra,brand_display_with_clean_pubchem_title,Avanafil,avanafil,,fda_6656,WEAJZXNPAWBCOA-INIZCTEOSA-N,/stor/home/mpg2352/atlas2/code/protein_automation/prepped_ligands/rdk_0003475.pdbqt
