Ligand,stage1,stage2,stage3
fda_0316.pdbqt,-6.35,,
fda_0317.pdbqt,-6.16,,
fda_0318.pdbqt,-7.97,,
fda_0319.pdbqt,-8.05,,
fda_0320.pdbqt,-8.00,,
fda_0321.pdbqt,-8.73,-8.69,
fda_0322.pdbqt,-8.12,,
fda_0323.pdbqt,-7.67,,
fda_0324.pdbqt,-7.70,,
fda_0325.pdbqt,-7.25,,
fda_0326.pdbqt,-7.62,,
fda_0327.pdbqt,-6.50,,
fda_0328.pdbqt,-7.78,,
fda_0329.pdbqt,-7.06,,
fda_0330.pdbqt,-7.04,,
fda_0331.pdbqt,-7.08,,
fda_0332.pdbqt,-6.24,,
fda_0333.pdbqt,-7.19,,
fda_0334.pdbqt,-7.37,,
fda_0335.pdbqt,-6.99,,
fda_0336.pdbqt,-6.09,,
fda_0337.pdbqt,-6.43,,
fda_0338.pdbqt,-6.51 (invalid),,
fda_0339.pdbqt,-6.32,,
fda_0340.pdbqt,-6.42,,
fda_0341.pdbqt,-6.45,,
fda_0342.pdbqt,-6.28,,
fda_0343.pdbqt,-6.41,,
fda_0344.pdbqt,-6.22,,
fda_0345.pdbqt,-6.60,,
fda_0346.pdbqt,-6.55,,
fda_0347.pdbqt,-7.11,,
fda_0348.pdbqt,-6.50,,
fda_0349.pdbqt,-6.47,,
fda_0350.pdbqt,-6.51 (invalid),,
fda_0351.pdbqt,-6.30,,
fda_0352.pdbqt,-7.69,,
fda_0353.pdbqt,-6.92,,
fda_0354.pdbqt,-6.62,,
fda_0355.pdbqt,-7.61,,
fda_0356.pdbqt,-7.13,,
fda_0357.pdbqt,-7.43,,
fda_0358.pdbqt,-6.99,,
fda_0359.pdbqt,-6.80,,
fda_0360.pdbqt,-6.38,,
fda_0361.pdbqt,-6.68,,
fda_0362.pdbqt,-6.88,,
fda_0363.pdbqt,-6.26,,
fda_0364.pdbqt,-6.31,,
fda_0365.pdbqt,-6.54,,
fda_0366.pdbqt,-6.45 (invalid),,
fda_0367.pdbqt,-6.58 (invalid),,
fda_0368.pdbqt,-6.86,,
fda_0369.pdbqt,-6.83 (invalid),,
